,block_state_geography_2010.geom,block_state_geography_2010_centroid,block_state_housingoccupancytenure_2010.geoid10,block_state_housingoccupancytenure_2010.h00010001,block_state_housingoccupancytenure_2010.h0030001,block_state_housingoccupancytenure_2010.h0030002,block_state_housingoccupancytenure_2010.h0030003,block_state_housingoccupancytenure_2010.h0040001,block_state_housingoccupancytenure_2010.h0040002,block_state_housingoccupancytenure_2010.h0040003,block_state_housingoccupancytenure_2010.h0040004,block_state_housingoccupancytenure_2010.h0190001,block_state_housingoccupancytenure_2010.h0190002,block_state_housingoccupancytenure_2010.h0190003,block_state_housingoccupancytenure_2010.h0190004,block_state_housingoccupancytenure_2010.h0190005,block_state_housingoccupancytenure_2010.h0190006,block_state_housingoccupancytenure_2010.h0190007
0,"MULTIPOLYGON(((-105.217917 39.802338,-105.21888 39.802333,-105.218914 39.802488,-105.218899 39.802624,-105.218865 39.802791,-105.2187 39.803006,-105.218465 39.803116,-105.218215 39.803157,-105.217967 39.803153,-105.217917 39.802338)))",POINT(-105.218383280185 39.8027067297493),080590098434041,7,7,7,0,7,4,1,2,7,5,4,1,2,0,2
1,"MULTIPOLYGON(((-105.16566 39.620027,-105.165661 39.620096,-105.165657 39.621248,-105.165656 39.622011,-105.165662 39.622086,-105.165516 39.622388,-105.165335 39.622719,-105.165144 39.623004,-105.164949 39.623188,-105.164771 39.623283,-105.164357 39.623428,-105.164005 39.623487,-105.1639 39.623135,-105.163773 39.622708,-105.163651 39.622297,-105.163803 39.622243,-105.164045 39.622117,-105.164222 39.621957,-105.1643 39.621842,-105.164428 39.621804,-105.164535 39.62182,-105.164719 39.621908,-105.164833 39.621875,-105.16494 39.621804,-105.165089 39.621452,-105.165125 39.62109,-105.165118 39.620892,-105.16516 39.62065,-105.165324 39.620403,-105.16566 39.620027)))",POINT(-105.164832244673 39.6221591892102),080590120341010,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0
2,"MULTIPOLYGON(((-105.214285 39.816268,-105.213755 39.816257,-105.210466 39.816258,-105.209583 39.816258,-105.206162 39.816238,-105.203732 39.816217,-105.203247 39.816163,-105.202778 39.815976,-105.202602 39.815899,-105.202541 39.815861,-105.202345 39.815737,-105.202076 39.815502,-105.20182 39.815223,-105.201183 39.814568,-105.200125 39.813512,-105.199758 39.813177,-105.199537 39.813063,-105.19936 39.812972,-105.19869 39.812759,-105.198186 39.812718,-105.198074 39.812709,-105.197248 39.812706,-105.197265 39.811065,-105.197206 39.810826,-105.19734 39.810773,-105.197529 39.810638,-105.197632 39.810546,-105.197456 39.810406,-105.19707 39.810098,-105.196901 39.809947,-105.196801 39.809833,-105.196756 39.809748,-105.196725 39.809539,-105.196743 39.808696,-105.196754 39.807866,-105.196783 39.807045,-105.196776 39.806625,-105.196764 39.806427,-105.196726 39.806292,-105.196667 39.806207,-105.196557 39.806125,-105.196423 39.80607,-105.196247 39.806038,-105.195818 39.806023,-105.19583 39.805469,-105.196937 39.805463,-105.197477 39.80546,-105.197977 39.805457,-105.198088 39.805552,-105.200041 39.805569,-105.200128 39.80557,-105.201379 39.805575,-105.201492 39.805575,-105.202785 39.805574,-105.202779 39.805439,-105.205648 39.805471,-105.207798 39.806883,-105.208105 39.807088,-105.208225 39.807163,-105.208404 39.80729,-105.209061 39.807725,-105.209921 39.808295,-105.211003 39.808975,-105.212293 39.809837,-105.212506 39.810024,-105.212592 39.810211,-105.212656 39.810656,-105.212607 39.810886,-105.212315 39.811397,-105.2123 39.811573,-105.21245 39.812353,-105.212522 39.812831,-105.212636 39.813292,-105.212814 39.813578,-105.213206 39.813874,-105.213334 39.814045,-105.213313 39.814435,-105.213185 39.814852,-105.213228 39.815072,-105.213377 39.815478,-105.213513 39.815676,-105.213748 39.815852,-105.214425 39.816137,-105.214579 39.816271,-105.214319 39.816269,-105.214285 39.816268),(-105.201239 39.80893,-105.199546 39.808922,-105.19954 39.81047,-105.199552 39.812806,-105.202643 39.812751,-105.203204 39.812755,-105.203181 39.810662,-105.203162 39.808939,-105.201239 39.80893)))",POINT(-105.205212234147 39.8109369637323),080590098434003,82,82,81,1,81,70,9,2,81,79,37,42,2,1,1
3,"MULTIPOLYGON(((-105.370531 39.907582,-105.370888 39.907548,-105.371133 39.907477,-105.371366 39.907471,-105.371522 39.907539,-105.371642 39.907717,-105.371451 39.907859,-105.371271 39.907975,-105.371073 39.90796,-105.370855 39.907837,-105.370531 39.907582)))",POINT(-105.371147967825 39.9077017739422),080590098083044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"MULTIPOLYGON(((-105.389367 39.897679,-105.389727 39.897149,-105.389771 39.896842,-105.389996 39.89696,-105.390196 39.897048,-105.390395 39.897114,-105.390574 39.897119,-105.390745 39.897092,-105.390959 39.897048,-105.39118 39.89707,-105.391472 39.897136,-105.391907 39.897241,-105.392149 39.897323,-105.392435 39.897411,-105.392748 39.897488,-105.392899 39.89751,-105.39289 39.897771,-105.392805 39.898207,-105.392719 39.898543,-105.392814 39.898779,-105.392115 39.898782,-105.390549 39.898986,-105.390353 39.898695,-105.39014 39.898227,-105.389806 39.89797,-105.389367 39.897679)))",POINT(-105.391229775535 39.8979464833129),080590098083019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"MULTIPOLYGON(((-105.079078 39.720713,-105.078901 39.720751,-105.078872 39.72074,-105.07878 39.720707,-105.078673 39.720636,-105.078581 39.720509,-105.078488 39.72013,-105.078425 39.720036,-105.078403 39.720004,-105.078267 39.719883,-105.078081 39.719772,-105.077385 39.719356,-105.077236 39.71923,-105.077151 39.719125,-105.077115 39.718955,-105.077108 39.718801,-105.077015 39.718642,-105.076871 39.718476,-105.07716 39.718475,-105.078035 39.718472,-105.079229 39.71846,-105.079242 39.719113,-105.079201 39.719562,-105.079123 39.719816,-105.079087 39.720002,-105.0791 39.720193,-105.07913 39.720366,-105.079143 39.720617,-105.079078 39.720713)))",POINT(-105.078345453981 39.7192764491954),080590116012019,32,32,31,1,31,14,8,9,31,22,5,17,9,3,6
6,"MULTIPOLYGON(((-105.147871 39.690127,-105.147721 39.689968,-105.147643 39.689792,-105.147632 39.688903,-105.147644 39.688749,-105.147652 39.688416,-105.1477 39.688289,-105.147804 39.688138,-105.147951 39.688043,-105.148283 39.687899,-105.148717 39.687737,-105.148837 39.687947,-105.148897 39.688102,-105.148871 39.688319,-105.148718 39.6885,-105.148621 39.688709,-105.148617 39.688926,-105.148701 39.689108,-105.148855 39.689254,-105.149104 39.68942,-105.14923 39.689538,-105.149326 39.689658,-105.149369 39.6898,-105.14941 39.690049,-105.149384 39.690264,-105.148234 39.690257,-105.148034 39.690207,-105.147871 39.690127)))",POINT(-105.148377919117 39.6891931306432),080590117123004,27,27,26,1,26,13,8,5,26,21,5,16,5,2,3
7,"MULTIPOLYGON(((-105.097018 39.693129,-105.097238 39.693197,-105.097195 39.69325,-105.097281 39.693344,-105.097409 39.693525,-105.09738 39.693833,-105.097281 39.69408,-105.097125 39.694245,-105.09576 39.694608,-105.097509 39.694609,-105.097941 39.694614,-105.09795 39.694664,-105.098234 39.695099,-105.097995 39.695182,-105.097814 39.695226,-105.097692 39.69523,-105.097573 39.695281,-105.097483 39.695359,-105.097451 39.695419,-105.097433 39.695775,-105.097449 39.696054,-105.097511 39.696109,-105.097592 39.696125,-105.097919 39.696125,-105.098375 39.696133,-105.098375 39.696534,-105.096584 39.696538,-105.096574 39.69596,-105.096618 39.695566,-105.096644 39.695131,-105.096623 39.695062,-105.096589 39.695012,-105.096494 39.694942,-105.096418 39.694914,-105.09626 39.694891,-105.096157 39.694896,-105.095979 39.694939,-105.095859 39.695007,-105.095801 39.695055,-105.095769 39.695153,-105.095747 39.695364,-105.095705 39.695606,-105.095662 39.695773,-105.095587 39.695991,-105.095573 39.696136,-105.095579 39.696533,-105.094622 39.696535,-105.09461 39.696218,-105.094624 39.696028,-105.0947 39.695838,-105.094806 39.695586,-105.094856 39.695432,-105.094867 39.695321,-105.094851 39.69455,-105.094856 39.694436,-105.094863 39.6943,-105.094898 39.694081,-105.095671 39.693033,-105.095924 39.69269,-105.096707 39.693033,-105.097018 39.693129)))",POINT(-105.09628511711 39.6947998345096),080590117024003,72,72,68,4,68,48,14,6,68,62,12,50,6,2,4
8,"MULTIPOLYGON(((-105.134393 39.582677,-105.134521 39.582754,-105.134886 39.582954,-105.135362 39.583192,-105.135698 39.583374,-105.135379 39.583727,-105.135096 39.583575,-105.134745 39.583463,-105.134442 39.583412,-105.13416 39.583397,-105.133608 39.583398,-105.133435 39.583434,-105.133306 39.583436,-105.13324 39.583519,-105.1332 39.583727,-105.133199 39.584534,-105.132292 39.584533,-105.132304 39.583667,-105.132273 39.583539,-105.132186 39.583476,-105.132067 39.583437,-105.131892 39.583423,-105.131415 39.583419,-105.130519 39.583412,-105.130514 39.583311,-105.130604 39.58328,-105.131288 39.583039,-105.131835 39.582798,-105.132069 39.582572,-105.132164 39.582202,-105.13224 39.582214,-105.132417 39.582017,-105.132541 39.581931,-105.132861 39.581744,-105.133261 39.581722,-105.133722 39.581551,-105.133747 39.581817,-105.133793 39.581996,-105.133864 39.582137,-105.133961 39.582314,-105.134204 39.582564,-105.134393 39.582677)))",POINT(-105.133117390506 39.5830283319341),080590120223005,234,234,219,15,219,139,15,65,219,154,22,132,65,21,44
9,"MULTIPOLYGON(((-105.249226 39.638353,-105.249206 39.638436,-105.249115 39.638477,-105.248955 39.638493,-105.248718 39.638483,-105.247416 39.638513,-105.247309 39.638589,-105.24717 39.638718,-105.247017 39.638869,-105.246854 39.639058,-105.246827 39.639252,-105.246883 39.6394,-105.247013 39.639596,-105.247215 39.639814,-105.24739 39.639956,-105.247526 39.640042,-105.247659 39.640095,-105.247906 39.640178,-105.248136 39.640245,-105.248283 39.640299,-105.248443 39.640393,-105.248558 39.640476,-105.248618 39.640562,-105.248685 39.640691,-105.248678 39.640869,-105.248613 39.64103,-105.248481 39.641157,-105.248328 39.641265,-105.248227 39.64137,-105.248013 39.641664,-105.247891 39.641788,-105.24778 39.641853,-105.247616 39.64191,-105.247342 39.642024,-105.246608 39.642276,-105.246215 39.642392,-105.245888 39.642482,-105.245637 39.642531,-105.245491 39.64258,-105.24539 39.642644,-105.245335 39.642736,-105.245318 39.642924,-105.24527 39.643097,-105.245222 39.64321,-105.245124 39.643275,-105.245055 39.643313,-105.244961 39.64331,-105.244902 39.64327,-105.244877 39.643195,-105.244876 39.642952,-105.244865 39.642855,-105.244792 39.642796,-105.244694 39.642772,-105.244496 39.642754,-105.244196 39.642746,-105.243977 39.64275,-105.243651 39.642762,-105.243604 39.642748,-105.243273 39.642536,-105.24307 39.642439,-105.242913 39.642353,-105.24277 39.642286,-105.242579 39.642209,-105.242317 39.642067,-105.24216 39.641957,-105.242062 39.641841,-105.242002 39.641715,-105.241928 39.641542,-105.241844 39.641327,-105.241809 39.641217,-105.241794 39.640991,-105.241801 39.640794,-105.241744 39.640662,-105.241674 39.640568,-105.241587 39.640482,-105.241448 39.640405,-105.241252 39.640324,-105.241099 39.64029,-105.240823 39.64022,-105.240691 39.640169,-105.240559 39.640105,-105.240478 39.64004,-105.240304 39.639904,-105.240157 39.63981,-105.239902 39.639684,-105.239583 39.639576,-105.240688 39.636635,-105.240825 39.636618,-105.241013 39.636645,-105.241181 39.636728,-105.241372 39.636838,-105.241609 39.636891,-105.241794 39.636912,-105.242006 39.636928,-105.242302 39.63693,-105.242466 39.636962,-105.24262 39.637023,-105.243045 39.637235,-105.243401 39.637377,-105.243837 39.637605,-105.24413 39.63775,-105.244301 39.637806,-105.244534 39.637849,-105.244761 39.63787,-105.24498 39.637848,-105.245244 39.637796,-105.24561 39.63769,-105.245867 39.637622,-105.246072 39.637584,-105.246299 39.637565,-105.246734 39.637564,-105.246925 39.637583,-105.247106 39.637601,-105.247406 39.637638,-105.247678 39.63771,-105.247856 39.637766,-105.248009 39.637836,-105.248166 39.637941,-105.248344 39.638053,-105.24855 39.638163,-105.248707 39.63823,-105.248867 39.638278,-105.249226 39.638353)))",POINT(-105.24416239843 39.6397740266971),080590120273009,5,5,3,2,3,3,0,0,3,3,0,3,0,0,0
10,"MULTIPOLYGON(((-105.090895 39.724081,-105.090895 39.724096,-105.090867 39.724086,-105.090823 39.724077,-105.09041 39.724154,-105.090254 39.724143,-105.090147 39.724116,-105.089898 39.723995,-105.089727 39.723984,-105.089407 39.724039,-105.089223 39.72405,-105.089002 39.723973,-105.088689 39.723754,-105.088523 39.723701,-105.088497 39.723693,-105.088258 39.72367,-105.088098 39.723655,-105.087593 39.723628,-105.087472 39.723605,-105.087138 39.72354,-105.086918 39.72348,-105.086683 39.723441,-105.086441 39.723359,-105.086386 39.72333,-105.086387 39.723308,-105.086377 39.722147,-105.086956 39.722138,-105.087472 39.72214,-105.088254 39.722128,-105.088573 39.722122,-105.089496 39.722119,-105.090887 39.722122,-105.090889 39.722253,-105.090895 39.724081)))",POINT(-105.08883082228 39.7229829569666),080590112021007,31,31,30,1,30,21,9,0,30,30,5,25,0,0,0
11,"MULTIPOLYGON(((-105.057875 39.569466,-105.057616 39.569811,-105.057571 39.569814,-105.057472 39.570011,-105.057015 39.570915,-105.056799 39.57132,-105.057256 39.56992,-105.057356 39.569816,-105.057597 39.569448,-105.057732 39.569311,-105.057888 39.569036,-105.058023 39.568921,-105.058094 39.56874,-105.058484 39.568015,-105.058851 39.567183,-105.059104 39.567184,-105.059062 39.568045,-105.05875 39.568497,-105.057875 39.569466)))",POINT(-105.058252838527 39.5687301482476),080590120532021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"MULTIPOLYGON(((-105.135758 39.62519,-105.135425 39.625194,-105.13475 39.625226,-105.134296 39.625248,-105.133415 39.625121,-105.132954 39.625121,-105.132364 39.625137,-105.132009 39.625187,-105.131661 39.625247,-105.131185 39.625241,-105.130787 39.625186,-105.130091 39.62523,-105.129443 39.625216,-105.130377 39.624135,-105.131696 39.624107,-105.133454 39.624137,-105.133844 39.624137,-105.135761 39.624138,-105.137681 39.624126,-105.137693 39.625212,-105.137385 39.625215,-105.137144 39.625217,-105.136889 39.625216,-105.136803 39.625209,-105.136249 39.625167,-105.135873 39.625189,-105.135758 39.62519)))",POINT(-105.133784976293 39.6246738442208),080590120391012,8,8,8,0,8,7,1,0,8,8,3,5,0,0,0
13,"MULTIPOLYGON(((-105.092889 39.868241,-105.092721 39.868049,-105.092577 39.867956,-105.093111 39.867183,-105.093571 39.867415,-105.094078 39.867694,-105.094509 39.867926,-105.094787 39.868047,-105.095121 39.86814,-105.095504 39.868223,-105.095963 39.86831,-105.096555 39.868334,-105.096776 39.868359,-105.096921 39.868458,-105.097123 39.868653,-105.097461 39.868951,-105.097967 39.869434,-105.097024 39.870043,-105.096835 39.870189,-105.096658 39.870369,-105.096094 39.870124,-105.095741 39.869972,-105.095312 39.869678,-105.095066 39.869483,-105.094897 39.869374,-105.094587 39.869227,-105.093879 39.86907,-105.093688 39.869,-105.09348 39.868908,-105.093305 39.868753,-105.093052 39.868449,-105.092889 39.868241)))",POINT(-105.09528807025 39.8688243916668),080590098282014,61,61,60,1,60,51,5,4,60,56,27,29,4,2,2
14,"MULTIPOLYGON(((-105.225192 39.766583,-105.226054 39.767393,-105.226687 39.768217,-105.226744 39.768305,-105.226712 39.768396,-105.226626 39.768462,-105.226411 39.768494,-105.226147 39.76846,-105.225967 39.768401,-105.225751 39.768138,-105.224566 39.766803,-105.225192 39.766583)))",POINT(-105.225697900551 39.7675650594572),080590098433081,14,14,14,0,14,12,1,1,14,13,5,8,1,0,1
15,"MULTIPOLYGON(((-105.066263 39.868591,-105.066089 39.868599,-105.065712 39.868627,-105.065341 39.868676,-105.064856 39.868786,-105.064728 39.86883,-105.064471 39.868984,-105.064379 39.869083,-105.064329 39.869181,-105.064222 39.869566,-105.064108 39.869945,-105.064094 39.870016,-105.064022 39.870214,-105.064008 39.870247,-105.063915 39.870346,-105.063823 39.87039,-105.063367 39.870516,-105.062775 39.870544,-105.062533 39.870533,-105.062432 39.870539,-105.062435 39.870524,-105.062445 39.870358,-105.062458 39.870137,-105.062475 39.869835,-105.062503 39.868978,-105.063101 39.868988,-105.063567 39.868984,-105.063675 39.86897,-105.063847 39.868912,-105.063948 39.868866,-105.064783 39.868259,-105.065135 39.868019,-105.065341 39.867918,-105.065528 39.867851,-105.065587 39.867825,-105.065729 39.867814,-105.065995 39.867817,-105.066357 39.867845,-105.066324 39.868147,-105.066263 39.868591)))",POINT(-105.064045113019 39.8692243406878),080590098273006,10,10,10,0,10,9,0,1,10,9,6,3,1,0,1
